Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Malavalli -186,NOTA,None of the Above,1250,6,1256,0.63
Malleshwaram -157,ANOOP IYENGAR,Indian National Congress,39104,200,39304,31.07
Malleshwaram -157,ABDUL SUHAIL AHMED,Bahujan Samaj Party,216,3,219,0.17
Malleshwaram -157,DR ASHWATH NARAYAN C N,Bharatiya Janata Party,79788,818,80606,63.72
Malleshwaram -157,UTHKARSH A,Janata Dal  (Secular),2640,17,2657,2.1
Malleshwaram -157,SUNIL HEBBI,National People's Party,96,0,96,0.08
Malleshwaram -157,SUMAN,Aam Aadmi Party,792,8,800,0.63
Malleshwaram -157,KRISHNAIAH,Rashtriya Samaj Dal (R),81,0,81,0.06
Malleshwaram -157,RAJESH B,Karnataka Rashtra Samithi,232,4,236,0.19
Malleshwaram -157,SANTOSH S,Bharatiya Prajagala Kalyana Paksha,89,3,92,0.07
Malleshwaram -157,K M FAYAZ AHMED,Independent,133,0,133,0.11
Malleshwaram -157,MANU KUMAR,Independent,190,0,190,0.15
Malleshwaram -157,NOTA,None of the Above,2068,11,2079,1.64
Malur -149,K.Y.NANJEGOWDA,Indian National Congress,50485,470,50955,29.4
Malur -149,K.S.MANJUNATHAGOWDA,Bharatiya Janata Party,50274,433,50707,29.26
Malur -149,VADAGANAHALLI N.RAMESHA,Bahujan Samaj Party,669,2,671,0.39
Malur -149,RAVISHANKAR.M,Aam Aadmi Party,708,0,708,0.41
Malur -149,G.E.RAMEGOWDA,Janata Dal  (Secular),17433,194,17627,10.17
Malur -149,K.R.S MAHESH A.V,Karnataka Rashtra Samithi,154,0,154,0.09
Malur -149,VENKATESH GOWDA.B.G,Sanyukt Vikas Party,96,0,96,0.06
Malur -149,JAYAMMA,Independent,77,0,77,0.04
Malur -149,N. DEAVANANDA BABU,Independent,54,0,54,0.03
Malur -149,K.NAGESH,Independent,35,3,38,0.02
Malur -149,NARAYANAMMA,Independent,102,0,102,0.06
Malur -149,H. R. RAMEGOWDA,Independent,280,1,281,0.16
Malur -149,M.VIJAYA KUMAR,Independent,1364,6,1370,0.79
Malur -149,HOODI VIJAYAKUMAR,Independent,48986,376,49362,28.48
Malur -149,SURESH KEMPANNA,Independent,443,0,443,0.26
Malur -149,NOTA,None of the Above,643,4,647,0.37
Mandya -189,ASHOK S.D JAYARAM,Bharatiya Janata Party,30240,421,30661,17.57
Mandya -189,BUDANURU BOMMAIAH,Aam Aadmi Party,960,0,960,0.55
Mandya -189,RAVIKUMAR GOWDA (GANIGA),Indian National Congress,60845,566,61411,35.18
Mandya -189,B.R. RAMACHANDRA,Janata Dal  (Secular),58996,396,59392,34.03
Mandya -189,SHIVASHANKARA .S,Bahujan Samaj Party,813,25,838,0.48
Mandya -189,NAGARAJ GAVIGOWDA,Karnataka Rashtra Samithi,217,0,217,0.12
Mandya -189,MADHUCHANDAN ORGANIC,Sarvodaya Karnataka Paksha,2426,12,2438,1.4
Mandya -189,M.P. VISHWA PUTTAIAH,Republican Party of India (Athawale),126,0,126,0.07
Mandya -189,SUVARNA,Aihra National Party,95,0,95,0.05
Mandya -189,C.M. KRISHNA,Independent,147,4,151,0.09
Mandya -189,M.J. CHIKKANNA LAVANYA RESIDENCY,Independent,183,0,183,0.1
Mandya -189,N. BASAVARAJU,Independent,465,0,465,0.27
Mandya -189,LOLA BELLUNDAGERE,Independent,1021,1,1022,0.59
Mandya -189,K.S. VIJAYANANDA,Independent,15195,139,15334,8.79
Mandya -189,SENE SHIVARAMU H.C.,Independent,323,0,323,0.19
Mandya -189,NOTA,None of the Above,924,6,930,0.53
Mangalore -204,U.T. KHADER FAREED,Indian National Congress,82637,582,83219,52.01
Mangalore -204,MOHAMMAD ASHRAF,Aam Aadmi Party,331,3,334,0.21
Mangalore -204,SATHISH KUMPALA,Bharatiya Janata Party,59660,769,60429,37.77
Mangalore -204,RIYAZ FARANGIPETE,Social Democratic Party Of India,15029,25,15054,9.41
Mangalore -204,DEEPAK RAJESH COELHO,Independent,240,3,243,0.15
Mangalore -204,NOTA,None of the Above,709,11,720,0.45
Mangalore City North -202,INAYATH ALI,Indian National Congress,69891,718,70609,38.72
Mangalore City North -202,BHARATH SHETTY. Y.,Bharatiya Janata Party,102231,1300,103531,56.77
Mangalore City North -202,MOIDIN BAVA,Janata Dal  (Secular),5211,45,5256,2.88
Mangalore City North -202,SANDEEP P SHETTY,Aam Aadmi Party,485,8,493,0.27
Mangalore City North -202,DHARMENDRA,Akhil Bharat Hindu Mahasabha,133,1,134,0.07
Mangalore City North -202,B PRAVEEN CHANDRA RAO,Hindustan Janta Party Secular,107,0,107,0.06
Mangalore City North -202,PRASHANTHA,Uttama Prajaakeeya Party,312,6,318,0.17
Mangalore City North -202,YASHODHA,Karnataka Rashtra Samithi,137,29,166,0.09
Mangalore City North -202,MAXIM PINTO,Independent,219,7,226,0.12
Mangalore City North -202,H VINAYA ACHARYA,Independent,328,1,329,0.18
Mangalore City North -202,NOTA,None of the Above,1184,10,1194,0.65
Mangalore City South -203,J.R.LOBO,Indian National Congress,66451,1024,67475,41.67
Mangalore City South -203,D.VEDAVYASA KAMATH,Bharatiya Janata Party,89998,1439,91437,56.46
Mangalore City South -203,SUMATHI.S.HEGDE,Janata Dal  (Secular),689,20,709,0.44
Mangalore City South -203,K.SANTHOSH KAMATH,Aam Aadmi Party,616,9,625,0.39
Mangalore City South -203,DHARMENDRA,Akhil Bharat Hindu Mahasabha,68,5,73,0.05
