Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Chittapur -40,NOTA,None of the Above,813,3,816,0.53
Dasarahalli -155,KIRTHAN KUMAR MANJAPPA,Aam Aadmi Party,4466,20,4486,1.95
Dasarahalli -155,POOJARI CHIKKANNA,Bahujan Samaj Party,668,2,670,0.29
Dasarahalli -155,G. DHANANJAYA,Indian National Congress,43425,94,43519,18.95
Dasarahalli -155,S. MUNIRAJU,Bharatiya Janata Party,90901,388,91289,39.75
Dasarahalli -155,R. MANJUNATHA,Janata Dal  (Secular),81666,429,82095,35.75
Dasarahalli -155,ASHWATH KUMAR,Uttama Prajaakeeya Party,3359,6,3365,1.47
Dasarahalli -155,ESHWARAIAH K. S.,Lok Shakti,222,0,222,0.1
Dasarahalli -155,SHREEKUMAR. T.,Karnataka Rashtra Samithi,369,1,370,0.16
Dasarahalli -155,M. SNEHA,Indian Movement Party,122,0,122,0.05
Dasarahalli -155,KALPANA. A. V,Independent,121,0,121,0.05
Dasarahalli -155,N. MANJUNATHA,Independent,296,0,296,0.13
Dasarahalli -155,MANJUNATH R.,Independent,317,2,319,0.14
Dasarahalli -155,R. MANJUNATHA,Independent,249,3,252,0.11
Dasarahalli -155,SAVITHA T. P.,Independent,185,0,185,0.08
Dasarahalli -155,SUMANTH P. N.,Independent,151,0,151,0.07
Dasarahalli -155,NOTA,None of the Above,2171,8,2179,0.95
Davanagere North -106,LOKIKERE NAGARAJ,Bharatiya Janata Party,68523,1024,69547,41.42
Davanagere North -106,S.S.MALLIKARJUN.,Indian National Congress,92709,1310,94019,56
Davanagere North -106,BATHI SHANKAR,Janata Dal  (Secular),925,10,935,0.56
Davanagere North -106,SHRIDHARA PATEELA C,Aam Aadmi Party,385,6,391,0.23
Davanagere North -106,CHANDRASHEKAR.B,Uttama Prajaakeeya Party,1133,10,1143,0.68
Davanagere North -106,K.MALLANNA,Karnataka Rashtra Samithi,137,2,139,0.08
Davanagere North -106,SURJEETH.G.,Sanyukt Vikas Party,49,0,49,0.03
Davanagere North -106,KEERTHI KUMAR.K.S,Independent,64,4,68,0.04
Davanagere North -106,MALLIKARJUNAPPA.K.M. GUMMANURU.,Independent,101,7,108,0.06
Davanagere North -106,MOHAMMED HAYATH.M.,Independent,80,0,80,0.05
Davanagere North -106,IDLI MANJU,Independent,125,0,125,0.07
Davanagere North -106,RUDRESHA. GOUDA KOGALUR,Independent,87,0,87,0.05
Davanagere North -106,M G SRIKANTH,Independent,279,2,281,0.17
Davanagere North -106,NOTA,None of the Above,902,17,919,0.55
Davanagere South -107,AJAY KUMAR. B.G,Bharatiya Janata Party,56052,358,56410,38.54
Davanagere South -107,AMANULLA KHAN. J.,Janata Dal  (Secular),1289,7,1296,0.89
Davanagere South -107,MOHAMMAD KALEEM,Bahujan Samaj Party,292,1,293,0.2
Davanagere South -107,SHAMANUR SHIVASHANKARAPPA,Indian National Congress,83839,459,84298,57.59
Davanagere South -107,SAJID.,Aam Aadmi Party,558,4,562,0.38
Davanagere South -107,ISMAIL ZABIULLA,Social Democratic Party Of India,1302,9,1311,0.9
Davanagere South -107,ESHWARA,Uttama Prajaakeeya Party,519,3,522,0.36
Davanagere South -107,GOUSE PEER,Kalyana Rajya Pragathi Paksha,221,0,221,0.15
Davanagere South -107,H K DAVAL SAB,Karnataka Rashtra Samithi,56,1,57,0.04
Davanagere South -107,BHARATHI. K,Socialist Unity Centre Of India (COMMUNIST),119,2,121,0.08
Davanagere South -107,ERANNA.,Independent,66,0,66,0.05
Davanagere South -107,NOWSHIN. TAJ.,Independent,98,3,101,0.07
Davanagere South -107,B. RAJASHEKAR,Independent,233,0,233,0.16
Davanagere South -107,G. R. SHIVAKUMAR SWAMY,Independent,72,0,72,0.05
Davanagere South -107,SHEK AHAMAD,Independent,164,0,164,0.11
Davanagere South -107,NOTA,None of the Above,653,2,655,0.45
Devadurga -56,Karemma,Janata Dal  (Secular),98914,630,99544,56.75
Devadurga -56,Narasannagouda Hosamani,Bahujan Samaj Party,1127,3,1130,0.64
Devadurga -56,Shivanagouda,Bharatiya Janata Party,64784,504,65288,37.22
Devadurga -56,A.Shridevi,Indian National Congress,3847,62,3909,2.23
Devadurga -56,Roopa,Independent,2781,3,2784,1.59
Devadurga -56,NOTA,None of the Above,2751,0,2751,1.57
Devanahalli -179,NISARGA NARAYANASWAMY L.N,Janata Dal  (Secular),67990,437,68427,37.9
Devanahalli -179,PILLA MUNISHAMAPPA,Bharatiya Janata Party,34310,94,34404,19.05
Devanahalli -179,K.H.MUNIYAPPA,Indian National Congress,72770,288,73058,40.46
Devanahalli -179,B.K.SHIVAPPA,Aam Aadmi Party,1092,1,1093,0.61
Devanahalli -179,NIKHIL M.LAWYER,Karnataka Rashtra Samithi,491,0,491,0.27
Devanahalli -179,DEVARAJ,Independent,143,0,143,0.08
Devanahalli -179,NARAYANASWAMY.M,Independent,233,0,233,0.13
Devanahalli -179,NISARGA VENKATESH,Independent,103,0,103,0.06
Devanahalli -179,V.POOJAPA,Independent,111,0,111,0.06
Devanahalli -179,WELFARE MANJUNATHA,Independent,759,1,760,0.42
Devanahalli -179,B.RAMACHANDRA PRESS,Independent,236,1,237,0.13
Devanahalli -179,NOTA,None of the Above,1509,0,1509,0.84
Devar Hippargi -27,BASALINGAPPA URF BASALINGAPPAGOUDA S/o BASAVANTARAY INGALAGI,Aam Aadmi Party,1787,0,1787,1.18
Devar Hippargi -27,BHIMANAGOUDA (RAJUGOUDA) BASANAGOUDA PATIL,Janata Dal  (Secular),65271,681,65952,43.39
Devar Hippargi -27,RAJU MADAR (GUBBEWAD),Bahujan Samaj Party,778,1,779,0.51
Devar Hippargi -27,SUNAGAR SHARANAPPA TIPPANNA,Indian National Congress,33431,242,33673,22.16
Devar Hippargi -27,SOMANAGOUDA B. PATIL (SASANUR),Bharatiya Janata Party,45272,505,45777,30.12
Devar Hippargi -27,GURUSHANTAVEERASWAMIJI HIREMATH ITAGI,Karnataka Janaseve Party,438,1,439,0.29
Devar Hippargi -27,BEVINAKATTI. GAIBAPPA. BHIMAPPA.,Republican Party of India Bharatha,216,0,216,0.14
Devar Hippargi -27,MANASOORBAB NABISAHEB BILAGI,Nationalist Congress Party,129,0,129,0.08
Devar Hippargi -27,SHIVANAND YADAHALLI (KONDAGULI),Karnataka Rashtra Samithi,196,2,198,0.13
Devar Hippargi -27,DUNDASI. ABDULRAHIMAN. MAHAMMADAHANIP.,Independent,216,2,218,0.14
Devar Hippargi -27,KEMPEGOUDA  IRANAGOUDA KESHAPPAGOL,Independent,294,3,297,0.2
Devar Hippargi -27,BHIMANAGOUDA BASANAGOUDA PATIL,Independent,1041,3,1044,0.69
Devar Hippargi -27,SHRISHAIL RUDRAPPA KAKKALAMELI,Independent,779,0,779,0.51
Devar Hippargi -27,NOTA,None of the Above,694,1,695,0.46
Dharwad -71,AMRUT AYYAPPA DESAI,Bharatiya Janata Party,70546,750,71296,43.04
Dharwad -71,MANJUNATH LAXMAPPA HAGEDAR,Janata Dal  (Secular),914,7,921,0.56
Dharwad -71,VINAY KULKARNI,Indian National Congress,88660,673,89333,53.92
Dharwad -71,PRAVEEN SANGANGOUD PATIL,Uttama Prajaakeeya Party,658,1,659,0.4
Dharwad -71,MADHULATA GOUDAR,Socialist Unity Centre Of India (COMMUNIST),245,1,246,0.15
Dharwad -71,SATTEVVA JAMANAL,Kalyana Rajya Pragathi Paksha,126,2,128,0.08
Dharwad -71,SIDDU BAGUR,Karnataka Rashtra Samithi,62,1,63,0.04
Dharwad -71,ANNA MANJU MANGALAGATTI,Independent,128,1,129,0.08
Dharwad -71,KANTIMATH RAJASHEKHARAYYA VIRUPAKSHAYYA,Independent,237,1,238,0.14
Dharwad -71,SHAKEEL ABDULSATTAR DODVAD,Independent,877,2,879,0.53
Dharwad -71,SHASHIKIRAN NADAKATTI,Independent,249,1,250,0.15
Dharwad -71,NOTA,None of the Above,1510,11,1521,0.92
Doddaballapur -180,DHEERAJ MUNIRAJ,Bharatiya Janata Party,84445,699,85144,46.69
Doddaballapur -180,B.L.PILLAPPA,Bahujan Samaj Party,366,0,366,0.2
Doddaballapur -180,PURUSHOTHAMA,Aam Aadmi Party,1356,0,1356,0.74
Doddaballapur -180,B.MUNEGOWDA,Janata Dal  (Secular),38968,312,39280,21.54
Doddaballapur -180,T.VENKATARAMANAIAH (APPAKARANAHALLI T.VENKATESH),Indian National Congress,53070,321,53391,29.28
Doddaballapur -180,GANGAMMA.M,Jai Maha Bharath Party,254,0,254,0.14
Doddaballapur -180,A.V.NARAYANA,Samajwadi Party,111,1,112,0.06
Doddaballapur -180,RAVIKUMAR.M,Uttama Prajaakeeya Party,790,4,794,0.44
Doddaballapur -180,VENKATARAJU.G.H,Rani Chennamma Party,127,0,127,0.07
Doddaballapur -180,B.SHIVASHANKAR KRS,Karnataka Rashtra Samithi,247,2,249,0.14
Doddaballapur -180,ANANDAMURTHY.J.GOWDRU,Independent,126,0,126,0.07
Doddaballapur -180,KUMAR RAO,Independent,156,0,156,0.09
Doddaballapur -180,NOTA,None of the Above,1010,0,1010,0.55
Gadag -66,ANIL. P.  MENASINAKAI,Bharatiya Janata Party,73820,1008,74828,43.96
Gadag -66,GOVINDAGOUDRA VENKANAGOUDRA RANGANAGOUDA,Janata Dal  (Secular),688,10,698,0.41
Gadag -66,DODDAMANI PEERSAB,Aam Aadmi Party,491,2,493,0.29
Gadag -66,H. K. PATIL,Indian National Congress,88986,972,89958,52.84
Gadag -66,ANAND HANDI,Karnataka Rashtra Samithi,536,0,536,0.31
Gadag -66,CHANDRASHEKHAR DESAI,Rani Chennamma Party,72,0,72,0.04
Gadag -66,POOJA MALLAPPA BEVOOR,Indian Movement Party,98,0,98,0.06
Gadag -66,SACHINKUMAR KARJEKANNAVAR,Uttama Prajaakeeya Party,274,2,276,0.16
Gadag -66,B. M. PATIL,Independent,95,0,95,0.06
Gadag -66,BASAVARAJ MALODE,Independent,104,2,106,0.06
Gadag -66,MALLIKARJUNAGOUDA SHANKARGOUDA PARVATAGOUDRA,Independent,283,0,283,0.17
Gadag -66,RUDRAPPA BASAPPA KUMBAR,Independent,729,0,729,0.43
Gadag -66,VISHWANATH KHANAPUR,Independent,272,4,276,0.16
Gadag -66,VEERABHADRAPPA VEERAPPA KABBINAD,Independent,237,4,241,0.14
Gadag -66,NOTA,None of the Above,1537,6,1543,0.91
Gandhi Nagar -164,S GOPINATH,Aam Aadmi Party,732,1,733,0.55
Gandhi Nagar -164,DINESH GUNDU RAO,Indian National Congress,53980,138,54118,40.81
Gandhi Nagar -164,V NARAYANASWAMY,Janata Dal  (Secular),12832,25,12857,9.7
Gandhi Nagar -164,SAPTHAGIRI GOWDA A R,Bharatiya Janata Party,53867,146,54013,40.73
Gandhi Nagar -164,ARUN KUMAR D,Indian Movement Party,239,0,239,0.18
Gandhi Nagar -164,KRISHNAIAH,Rashtriya Samaj Dal (R),102,0,102,0.08
Gandhi Nagar -164,S M DIVAKAR,Republican Party of India (Athawale),323,2,325,0.25
Gandhi Nagar -164,PRAKASH K,Karnataka Rashtra Samithi,313,3,316,0.24
Gandhi Nagar -164,PRASHANTH KUMAR,Janahitha Paksha,70,0,70,0.05
Gandhi Nagar -164,BASAVARAJA M D,Uttama Prajaakeeya Party,745,1,746,0.56
Gandhi Nagar -164,K STEPHEN,All India Mahila Empowerment Party,88,1,89,0.07
Gandhi Nagar -164,KRISSHNAIAH SETTY ES EN  MALURU,Independent,6862,9,6871,5.18
Gandhi Nagar -164,G GAJENDRA,Independent,135,0,135,0.1
Gandhi Nagar -164,PUSHPA RANI S,Independent,122,1,123,0.09
Gandhi Nagar -164,P BASAPPACHAR,Independent,180,0,180,0.14
Gandhi Nagar -164,NOTA,None of the Above,1689,3,1692,1.28
Gangawati -62,IQBAL ANSARI,Indian National Congress,57674,273,57947,36.25
Gangawati -62,CHANNAKESHAVE HERIYAAL RAMULU,Janata Dal  (Secular),1204,8,1212,0.76
Gangawati -62,PARANNA ISHWARAPPA MUNAVALLI,Bharatiya Janata Party,28918,249,29167,18.25
Gangawati -62,SHARANAPPA SAJJIHOLA,Aam Aadmi Party,413,2,415,0.26
Gangawati -62,SHANKAR SIDDAPUR,Bahujan Samaj Party,190,0,190,0.12
Gangawati -62,KANAKAPPA HANUMAPPA HUDEJALI,Karnataka Rashtra Samithi,390,1,391,0.24
Gangawati -62,G JANARDHAN REDDY,Kalyana Rajya Pragathi Paksha,65791,422,66213,41.42
Gangawati -62,KARADI BASAVARAJA,Indian Movement Party,477,0,477,0.3
Gangawati -62,VIJAY KUMAR ACHAPPA,Akhil Bharat Hindu Mahasabha,176,1,177,0.11
Gangawati -62,VENKATESH RAO G KULKARNI HEGGAPUR,Bharatiya Prajagala Kalyana Paksha,356,0,356,0.22
Gangawati -62,SHARANAPPA SINGANAL,Uttama Prajaakeeya Party,367,4,371,0.23
Gangawati -62,SHRI VENKATESHWARA MAHA SWAMIJI,Hindustan Janta Party,86,1,87,0.05
Gangawati -62,SARASWATI K,Republican Party of India Bharatha,221,1,222,0.14
Gangawati -62,CHAKRAVARTHI NAYAKA T,Independent,272,1,273,0.17
Gangawati -62,MAHAMMAD NATHIK ALAM,Independent,156,0,156,0.1
Gangawati -62,PRASAD TALURI,Independent,792,0,792,0.5
Gangawati -62,SHIVASHANKARYYA SWAMI SHETTAR‌ KARATAGI,Independent,522,0,522,0.33
Gangawati -62,SHANMUKHA VALMIKI,Independent,92,1,93,0.06
Gangawati -62,SANGAMESH SUGREEVAA,Independent,368,4,372,0.23
Gangawati -62,NOTA,None of the Above,425,1,426,0.27
Gauribidanur -139,C.R.NARASIMHA MURTHY. (ZP),Janata Dal  (Secular),10966,159,11125,6.15
Gauribidanur -139,PRAKASH BABU.K.,Bahujan Samaj Party,394,1,395,0.22
Gauribidanur -139,Dr. H.S. SHASHIDHARA KUMAR,Bharatiya Janata Party,8024,108,8132,4.5
Gauribidanur -139,N.H.SHIVASHANKARA REDDY,Indian National Congress,46035,516,46551,25.75
Gauribidanur -139,SYED NASIR ALI,Aam Aadmi Party,385,1,386,0.21
Gauribidanur -139,C.N.PRAKASH,Kalyana Rajya Pragathi Paksha,178,0,178,0.1
Gauribidanur -139,LAKSHMANA NAYAKA.B,Uttama Prajaakeeya Party,700,2,702,0.39
Gauribidanur -139,SRINIVASA.C.V (K.R.S),Karnataka Rashtra Samithi,383,0,383,0.21
Gauribidanur -139,DR.KEMPARAJU.K.,Independent,23875,327,24202,13.38
Gauribidanur -139,NASURULLA,Independent,475,1,476,0.26
Gauribidanur -139,PUTTASWAMY,Independent,1030,7,1037,0.57
Gauribidanur -139,PUTTASWAMY GOWDA,Independent,549,9,558,0.31
Gauribidanur -139,K.PUTTASWAMY GOWDA,Independent,1300,11,1311,0.73
Gauribidanur -139,K.H.PUTTASWAMY GOWDA (KHP),Independent,83177,660,83837,46.37
Gauribidanur -139,G.N.RAVI,Independent,248,2,250,0.14
Gauribidanur -139,VIJAYAKUMAR.N.R,Independent,350,0,350,0.19
Gauribidanur -139,SHASHIKUMAR.C.L,Independent,206,0,206,0.11
Gauribidanur -139,N.HANUMANTHANAYAKA,Independent,170,5,175,0.1
Gauribidanur -139,NOTA,None of the Above,554,7,561,0.31
Gokak -9,J. M. KAREPPAGOL,Aam Aadmi Party,776,3,779,0.41
Gokak -9,KADADI  MAHANTESH KALLAPPA,Indian National Congress,79431,470,79901,41.97
Gokak -9,JARKIHOLI RAMESH LAXMANRAO,Bharatiya Janata Party,104068,1245,105313,55.31
Gokak -9,B. LOHIT,Bahujan Samaj Party,746,2,748,0.39
Gokak -9,JAGADEESH C. K.,Socialist Party (India),162,0,162,0.09
Gokak -9,SURESH PATTANSHETTI,Uttama Prajaakeeya Party,344,4,348,0.18
Gokak -9,HANAMANTH SHIVAPPA NAGANUR,Swayam Krushi Party,242,1,243,0.13
Gokak -9,PUNDALIK KEMPANNA KULLUR,Independent,293,2,295,0.15
Gokak -9,BHIMASHI NAIK,Independent,961,5,966,0.51
Gokak -9,SURESH BASAPPA MARALINGANNAVAR,Independent,575,0,575,0.3
Gokak -9,NOTA,None of the Above,1052,8,1060,0.56
Govindraj Nagar -166,K. UMESH SHETTY,Bharatiya Janata Party,69147,471,69618,43.12
Govindraj Nagar -166,ANJANA GOWDA,Aam Aadmi Party,446,6,452,0.28
Govindraj Nagar -166,PARVEEZ KHAN. P,Bahujan Samaj Party,162,1,163,0.1
Govindraj Nagar -166,R PRAKASH,Janata Dal  (Secular),4547,36,4583,2.84
Govindraj Nagar -166,PRIYAKRISHNA,Indian National Congress,81663,471,82134,50.87
Govindraj Nagar -166,BALAKRISHNA. M,Uttama Prajaakeeya Party,2146,2,2148,1.33
Govindraj Nagar -166,A. RAJ,Indian Movement Party,57,1,58,0.04
Govindraj Nagar -166,B R Shashikumar,Karnataka Rashtra Samithi,183,0,183,0.11
Govindraj Nagar -166,AMJAD KHAN,Independent,44,0,44,0.03
Govindraj Nagar -166,GOPALA,Independent,86,4,90,0.06
Govindraj Nagar -166,MOHANKUMAR. B N,Independent,141,0,141,0.09
Govindraj Nagar -166,LOHITH. M @ LOHITH GOWDA,Independent,154,0,154,0.1
Govindraj Nagar -166,S. SURESH,Independent,69,0,69,0.04
Govindraj Nagar -166,SANTHOSH KUMAR K S,Independent,111,1,112,0.07
Govindraj Nagar -166,NOTA,None of the Above,1498,6,1504,0.93
Gubbi -135,S D DILIPKUMAR,Bharatiya Janata Party,51505,474,51979,32.46
Gubbi -135,NAGARAJU B S,Janata Dal  (Secular),42870,176,43046,26.88
Gubbi -135,PRABHUSWAMY B S,Aam Aadmi Party,1834,0,1834,1.15
Gubbi -135,SHIVANNA,Bahujan Samaj Party,341,0,341,0.21
Gubbi -135,S R SRINIVAS (VASU),Indian National Congress,60124,396,60520,37.79
Gubbi -135,PRAVEEN GOWDA CHELUR,Karnataka Rashtra Samithi,672,2,674,0.42
Gubbi -135,H H GIRIYAPPA,Independent,221,0,221,0.14
Gubbi -135,DR BHAVANA R GIRIDHAR,Independent,339,1,340,0.21
Gubbi -135,VEERESHAPRASAD R (GUBBI VEERANNA),Independent,160,0,160,0.1
Gubbi -135,SRINIVAS T V,Independent,294,1,295,0.18
Gubbi -135,NOTA,None of the Above,726,0,726,0.45
Gulbarga Dakshin -44,ALLAMPRABHU PATIL,Indian National Congress,86219,1126,87345,54.74
Gulbarga Dakshin -44,KRISHNA REDDY,Janata Dal  (Secular),1399,10,1409,0.88
Gulbarga Dakshin -44,DATTATREYA.C. PATIL REVOOR APPUGOUDA,Bharatiya Janata Party,65137,1160,66297,41.55
Gulbarga Dakshin -44,L.R. BHOSLE,Bahujan Samaj Party,457,7,464,0.29
Gulbarga Dakshin -44,SIDDHU. PATIL (TEGNOOR),Aam Aadmi Party,243,2,245,0.15
Gulbarga Dakshin -44,MOHD. ASLAM MANIYAR,Indian Movement Party,74,0,74,0.05
Gulbarga Dakshin -44,MAHESH S.B.,Socialist Unity Centre Of India (COMMUNIST),96,2,98,0.06
Gulbarga Dakshin -44,VIJAY JADHAV,Karnataka Rashtra Samithi,58,0,58,0.04
Gulbarga Dakshin -44,NAGAYYA GUTTEDAR. G. TAILOR,Independent,88,2,90,0.06
Gulbarga Dakshin -44,M D MAQBOOL KHAN,Independent,72,1,73,0.05
Gulbarga Dakshin -44,MOHAMMED HUSSAIN (MOHAMMED),Independent,64,1,65,0.04
Gulbarga Dakshin -44,SHARANABASAPPA. PAPPA.,Independent,1040,10,1050,0.66
Gulbarga Dakshin -44,SHASHIDHAR. B.K. NAGANAHALLI,Independent,497,0,497,0.31
Gulbarga Dakshin -44,SUDHAKAR,Independent,513,5,518,0.32
Gulbarga Dakshin -44,NOTA,None of the Above,1275,9,1284,0.8
Gulbarga Rural -43,PANDURANG MAVINKAR,Communist Party of India  (Marxist),821,1,822,0.51
Gulbarga Rural -43,BASAWARAJ MATTIMUDU,Bharatiya Janata Party,83759,707,84466,52.1
Gulbarga Rural -43,MAILARI S/O YESHAWANTH SHALLAGI,Bahujan Samaj Party,830,5,835,0.52
Gulbarga Rural -43,RAGHAVENDRA CHINCHANSOOR,Aam Aadmi Party,628,2,630,0.39
Gulbarga Rural -43,REVU NAIK BELAMAGI,Indian National Congress,71339,500,71839,44.31
Gulbarga Rural -43,GANAPATH RAO K MANE,Socialist Unity Centre Of India (COMMUNIST),880,1,881,0.54
Gulbarga Rural -43,VENKATESH MAHARAJ,Karnataka Rashtra Samithi,138,0,138,0.09
Gulbarga Rural -43,HANMANTH,Rashtriya Samaj Paksha,206,0,206,0.13
Gulbarga Rural -43,DATTATREY  K KAMALAPURKAR,Independent,420,2,422,0.26
Gulbarga Rural -43,BHAGWAN EDURAM BHOVI,Independent,173,1,174,0.11
Gulbarga Rural -43,RAMESH S/O BHIMSINGH CHAVAN,Independent,288,1,289,0.18
Gulbarga Rural -43,SATISH B SHINDE,Independent,577,1,578,0.36
Gulbarga Rural -43,NOTA,None of the Above,835,4,839,0.52
Gulbarga Uttar -45,KANEEZ FATIMA,Indian National Congress,80538,435,80973,45.28
Gulbarga Uttar -45,CHANDRAKANT B. PATIL (CHANDU PATIL),Bharatiya Janata Party,77559,702,78261,43.76
Gulbarga Uttar -45,NASIR HUSSAIN USTAD,Janata Dal  (Secular),17048,66,17114,9.57
Gulbarga Uttar -45,MD. MAHMOOD SHAH,Bahujan Samaj Party,204,0,204,0.11
Gulbarga Uttar -45,INAMDAR SAJJAD ALI,Aam Aadmi Party,426,1,427,0.24
Gulbarga Uttar -45,ABDUL HAMEED DABUR,Akhil Bharatiya Muslim League (Secular),70,0,70,0.04
Gulbarga Uttar -45,BHOVI TARABAI,Bhartiya Jan Samrat Party,65,0,65,0.04
Gulbarga Uttar -45,MOHAMMED. ASHRAF,All India Majlis-E-Inquilab-E-Millat,45,0,45,0.03
Gulbarga Uttar -45,A.S. SHARANABASAPPA (SHARAN. IT),Janata Dal  (United),87,0,87,0.05
Gulbarga Uttar -45,ABDUL RAHEEM MIRCHI SAIT,Independent,90,0,90,0.05
Gulbarga Uttar -45,ABDUL HAMEED BAGBAN,Independent,174,0,174,0.1
Gulbarga Uttar -45,MUJAHID MAZHARI,Independent,401,0,401,0.22
Gulbarga Uttar -45,NOTA,None of the Above,930,4,934,0.52
Gundlupet -224,H.M.Ganesh Prasad,Indian National Congress,107101,693,107794,57.34
Gundlupet -224,D.Govindaraju,Bahujan Samaj Party,1227,7,1234,0.66
Gundlupet -224,C.S. Niranjan Kumar,Bharatiya Janata Party,70605,514,71119,37.83
Gundlupet -224,Mahadevaprasad M.,Aam Aadmi Party,506,1,507,0.27
Gundlupet -224,Manjunatha K.S.,Janata Dal  (Secular),1839,11,1850,0.98
Gundlupet -224,N. Ambarish,Karnataka Jantha Paksha,119,1,120,0.06
Gundlupet -224,Girish.K,Karnataka Rashtra Samithi,78,0,78,0.04
Gundlupet -224,K.Basavashetty,Bharathiya Belaku Party,76,1,77,0.04
Gundlupet -224,Jayashree,Independent,145,3,148,0.08
Gundlupet -224,Tippu Sulthan,Independent,169,0,169,0.09
Gundlupet -224,H.S.Thontadharyaswamy,Independent,105,1,106,0.06
Gundlupet -224,Prathap.M,Independent,184,0,184,0.1
Gundlupet -224,Mahesha M.,Independent,297,0,297,0.16
Gundlupet -224,Siddaraju H.S.,Independent,547,0,547,0.29
Gundlupet -224,M.P.Sunil,Independent,2211,16,2227,1.18
Gundlupet -224,NOTA,None of the Above,1530,8,1538,0.82
Gurmitkal -39,BABURAO CHINCHANSOOR,Indian National Congress,69371,347,69718,42.95
Gurmitkal -39,ANPUR LALITA MOULALI,Bharatiya Janata Party,14488,83,14571,8.98
Gurmitkal -39,K.B. VASU,Bahujan Samaj Party,2584,6,2590,1.6
Gurmitkal -39,SHARANA GOWDA KANDAKUR,Janata Dal  (Secular),71784,513,72297,44.54
Gurmitkal -39,S. NIJALINGAPPA DODDASAMBRA,Karnataka Rashtra Samithi,1069,1,1070,0.66
Gurmitkal -39,MALLIKARJUN,Uttama Prajaakeeya Party,666,2,668,0.41
Gurmitkal -39,NOTA,None of the Above,1409,7,1416,0.87
Hadagalli -88,PUTHRESH KAYANNANAVAR,Janata Dal  (Secular),1834,13,1847,1.23
Hadagalli -88,KRISHNA NAYAKA.,Bharatiya Janata Party,71833,1367,73200,48.81
Hadagalli -88,P.T.PARAMESHWARA NAIK,Indian National Congress,71042,714,71756,47.85
Hadagalli -88,N. SREEDHAR NAIK,Aam Aadmi Party,877,2,879,0.59
Hadagalli -88,L.ANILAKUMARA,Karnataka Rashtra Samithi,404,4,408,0.27
Hadagalli -88,D.BHOJYA NAIK,Kalyana Rajya Pragathi Paksha,284,2,286,0.19
Hadagalli -88,LAKKAPPA ANGADI,Rani Chennamma Party,357,4,361,0.24
Hadagalli -88,S.MALLESHANAIK,Independent,394,2,396,0.26
Hadagalli -88,NOTA,None of the Above,810,13,823,0.55
Hagaribommanahalli -89,H THIPPESWAMY,Bahujan Samaj Party,436,0,436,0.23
Hagaribommanahalli -89,Nemarajanaik.K,Janata Dal  (Secular),83185,838,84023,44.44
Hagaribommanahalli -89,L B P Bheema Naik,Indian National Congress,71492,1187,72679,38.44
Hagaribommanahalli -89,Ramanna B,Bharatiya Janata Party,26696,330,27026,14.29
Hagaribommanahalli -89,Dr.V.H.Hanumanthappa,Aam Aadmi Party,1617,5,1622,0.86
Hagaribommanahalli -89,Lalyanaik,Indian Movement Party,213,1,214,0.11
Hagaribommanahalli -89,C Shiva Murthy,Kalyana Rajya Pragathi Paksha,183,2,185,0.1
Hagaribommanahalli -89,Suguna K,Nationalist Congress Party,147,1,148,0.08
Hagaribommanahalli -89,H V Santosh Kumar,Karnataka Rashtra Samithi,180,1,181,0.1
Hagaribommanahalli -89,J Anjinappa,Independent,370,4,374,0.2
Hagaribommanahalli -89,H MANJUNATHA,Independent,384,2,386,0.2
Hagaribommanahalli -89,A M A Suresh Kumara,Independent,932,13,945,0.5
Hagaribommanahalli -89,NOTA,None of the Above,842,4,846,0.45
Haliyal -76,GHOTNEKAR SHRIKANTH LAKSHMAN,Janata Dal  (Secular),28682,132,28814,20.17
Haliyal -76,DESHPANDE RAGHUNATH,Indian National Congress,56912,328,57240,40.08
Haliyal -76,MANNURAPPA KALLAPPA JARI,Bahujan Samaj Party,448,4,452,0.32
Haliyal -76,GURUDIPASING HARBANSSING SANDHU,Aam Aadmi Party,481,0,481,0.34
Haliyal -76,SUNIL HEGADE,Bharatiya Janata Party,53328,289,53617,37.54
Haliyal -76,B G S,Karnataka Rashtra Samithi,475,2,477,0.33
Haliyal -76,MALLAYYA GANGAYYA HIREMATH,Uttama Prajaakeeya Party,188,4,192,0.13
Haliyal -76,ELIYAS KATI,Independent,162,0,162,0.11
Haliyal -76,JAHANGIR BABA KHAN,Independent,451,0,451,0.32
Haliyal -76,NOTA,None of the Above,935,6,941,0.66
Hangal -82,MANOHAR HANUMANTAPPA  TAHASILDAR,Janata Dal  (Secular),8737,97,8834,4.93
Hangal -82,SHIVARAJ SAJJANAR,Bharatiya Janata Party,72033,612,72645,40.52
Hangal -82,MANE SRINIVAS,Indian National Congress,93997,593,94590,52.76
Hangal -82,SAIKUMAR V PAWAR,Aam Aadmi Party,721,2,723,0.4
Hangal -82,UDACHAPPA UDDANAKAL,Karnataka Rashtra Samithi,171,2,173,0.1
Hangal -82,PAMPAPATI S K,Kalyana Rajya Pragathi Paksha,215,1,216,0.12
Hangal -82,BOVI (BARKI) MANJUNATH,Indian Movement Party,55,0,55,0.03
Hangal -82,SUBRAMANYA ANANT HEBBAR,Hindustan Janta Party Secular,109,2,111,0.06
Hangal -82,MALLIKARJUN (RAJANNA) C HAVERI,Independent,128,6,134,0.07
